schema,function_name,signature,owner,language,security_mode,execute_acl,primary_classification,repository_callers,database_callers,calls_functions,trigger_view_policy_dependency,cron_dependency,railway_usage,application_usage,tables_read,tables_written,financial_or_security_risk,duplicate_in_railway,confidence,evidence_notes,recommended_action
game_core,api_get_room_state,game_core.api_get_room_state(p_room_id uuid),postgres,sql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,game-engine,,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,game-engine .rpc,KEEP
game_core,fn_cancel_waiting_room_single,"game_core.fn_cancel_waiting_room_single(p_room uuid, p_actor uuid, p_reason text, p_require_single_player boolean, p_now timestamp with time zone)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,product helper,KEEP
game_core,fn_cancel_waiting_rooms,"game_core.fn_cancel_waiting_rooms(p_room uuid, p_by_admin boolean)",postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,product helper,KEEP
game_core,fn_cancel_waiting_rooms,"game_core.fn_cancel_waiting_rooms(p_room uuid, p_by_admin boolean, p_requester uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,product helper,KEEP
game_core,fn_confirm_win,"game_core.fn_confirm_win(p_room_id uuid, p_ticket_id uuid, p_type text)",postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",G. CANDIDATE_UNUSED_NEEDS_VALIDATION,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,low,insufficient evidence for CONFIRMED_UNUSED,ACL_REVIEW
game_core,fn_ensure_waiting_started_at,"game_core.fn_ensure_waiting_started_at(p_room uuid, p_now timestamp with time zone)",postgres,plpgsql,SECURITY DEFINER,NULL,A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,none_found,,,,,indirect SoR,indirect,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,room/join SoR helper,KEEP
game_core,fn_evaluate_room_after_draw,"game_core.fn_evaluate_room_after_draw(p_room uuid, p_draw integer)",postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,game-engine,janitor_repair; rpc_apply_marks; batch workers,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,yes TS port/mirror,high,game-engine .rpc,KEEP
game_core,fn_force_cancel_waiting_room,"game_core.fn_force_cancel_waiting_room(p_room uuid, p_reason text, p_now timestamp with time zone)",postgres,plpgsql,SECURITY DEFINER,NULL,C. KEEP_MAINTENANCE,none_found,fn_janitor_sweep,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,maintenance/pool helper,KEEP
game_core,fn_generate_card_pool,"game_core.fn_generate_card_pool(p_card_count integer, p_created_by uuid, p_prng_version text)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,app/lib/services,,,,,no,yes,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,app/lib/services .rpc,KEEP
game_core,fn_generate_card_pool_step,game_core.fn_generate_card_pool_step(p_batch_size integer),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",C. KEEP_MAINTENANCE,none_found,,,,cron.fn_generate_card_pool_step,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,active cron cron.fn_generate_card_pool_step,KEEP
