schema,function_name,signature,security_mode,secure_search_path,current_public_execute,current_anon_execute,current_authenticated_execute,current_service_role_execute,current_postgres_execute,actual_callers,repository_evidence,database_dependency_evidence,internal_authorization,authorization_details,definer_justification,rls_bypass_risk,financial_or_privileged_side_effect,recommended_acl,risk_level,proposed_action,confidence,notes
game_core,api_get_room_state,game_core.api_get_room_state(p_room_id uuid),SECURITY INVOKER,no,true,true,true,true,true,Railway service_role,game-engine; game-engine .rpc,none_found,NONE,service-role/cron assumed; no end-user authorization in body,NOT_APPLICABLE,low (INVOKER),no,postgres + service_role,HIGH,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_cancel_waiting_room_single,"game_core.fn_cancel_waiting_room_single(p_room uuid, p_actor uuid, p_reason text, p_require_single_player boolean, p_now timestamp with time zone)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,UNKNOWN,body not fully reviewed this pass,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,authenticated with mandatory internal role check,HIGH,REVIEW_SECURITY_DEFINER,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_core,fn_cancel_waiting_rooms,"game_core.fn_cancel_waiting_rooms(p_room uuid, p_by_admin boolean)",SECURITY INVOKER,no,true,true,true,true,true,no active caller found,none_found,none_found,PARTIAL,auth.uid referenced; raise/guard patterns,NOT_APPLICABLE,low (INVOKER),no,authenticated with mandatory internal role check,MEDIUM,REDUCE_ACL_IN_P1_9B,medium,direct grants: anon=true; auth=true; service=true; PUBLIC=true
game_core,fn_cancel_waiting_rooms,"game_core.fn_cancel_waiting_rooms(p_room uuid, p_by_admin boolean, p_requester uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,STRONG,auth.uid referenced; role/admin keywords; raise/guard patterns,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,authenticated with mandatory internal role check,MEDIUM,REDUCE_ACL_IN_P1_9B,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_core,fn_confirm_win,"game_core.fn_confirm_win(p_room_id uuid, p_ticket_id uuid, p_type text)",SECURITY INVOKER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,NOT_APPLICABLE,low (INVOKER),no,manual review required,CRITICAL,MANUAL_REVIEW_REQUIRED,low,P1.8 candidate-unused (not removable); direct grants: anon=true; auth=true; service=true; PUBLIC=true
game_core,fn_ensure_waiting_started_at,"game_core.fn_ensure_waiting_started_at(p_room uuid, p_now timestamp with time zone)",SECURITY DEFINER,yes,true,true,true,true,true,another database function,none_found,none_found,UNKNOWN,body not fully reviewed this pass,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,manual review required,HIGH,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=false; PUBLIC=true
game_core,fn_evaluate_room_after_draw,"game_core.fn_evaluate_room_after_draw(p_room uuid, p_draw integer)",SECURITY INVOKER,no,true,true,true,true,true,Railway service_role; another database function,game-engine; game-engine .rpc,janitor_repair; rpc_apply_marks; batch workers,NONE,service-role/cron assumed; no end-user authorization in body,NOT_APPLICABLE,low (INVOKER),no,postgres + service_role,HIGH,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=true; auth=true; service=true; PUBLIC=true
game_core,fn_force_cancel_waiting_room,"game_core.fn_force_cancel_waiting_room(p_room uuid, p_reason text, p_now timestamp with time zone)",SECURITY DEFINER,yes,true,true,true,true,true,another database function,none_found,fn_janitor_sweep,UNKNOWN,body not fully reviewed this pass,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,manual review required,HIGH,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=false; PUBLIC=true
game_core,fn_generate_card_pool,"game_core.fn_generate_card_pool(p_card_count integer, p_created_by uuid, p_prng_version text)",SECURITY DEFINER,no,true,true,true,true,true,authenticated player,app/lib/services; app/api|services|lib .rpc,none_found,UNKNOWN,body not fully reviewed this pass,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,authenticated with mandatory internal role check,HIGH,REVIEW_SECURITY_DEFINER,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_core,fn_generate_card_pool_step,game_core.fn_generate_card_pool_step(p_batch_size integer),SECURITY DEFINER,no,true,true,true,true,true,cron/postgres,none_found,cron:cron.fn_generate_card_pool_step,NONE,service-role/cron assumed; no end-user authorization in body,DEFINER_NOT_JUSTIFIED,high (DEFINER + weak auth),no,postgres only,HIGH,REVIEW_SECURITY_DEFINER,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_core,fn_generate_room_seed,game_core.fn_generate_room_seed(),SECURITY INVOKER,no,true,true,true,true,true,another database function,none_found,none_found,UNKNOWN,body not fully reviewed this pass,NOT_APPLICABLE,low (INVOKER),no,manual review required,MEDIUM,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_janitor_repair_unsettled_finished,game_core.fn_janitor_repair_unsettled_finished(p_limit integer),SECURITY DEFINER,yes,true,true,true,true,true,Railway service_role,game-engine; game-engine .rpc,none_found,NONE,service-role/cron assumed; no end-user authorization in body,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=false; PUBLIC=true
game_core,fn_janitor_sweep,game_core.fn_janitor_sweep(),SECURITY DEFINER,yes,true,true,true,true,true,cron/postgres,none_found,cron:cron.fn_janitor_sweep,NONE,service-role/cron assumed; no end-user authorization in body,DEFINER_NOT_JUSTIFIED,high (DEFINER + weak auth),no,postgres only,HIGH,REDUCE_ACL_IN_P1_9B,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_join_or_create_room_base,"game_core.fn_join_or_create_room_base(p_template_id uuid, p_card_count integer, p_password text)",SECURITY DEFINER,yes,true,true,true,true,true,another database function,none_found,none_found,UNKNOWN,body not fully reviewed this pass,DEFINER_PROBABLY_REQUIRED,medium (DEFINER; mitigated if strong internal auth),no,authenticated with mandatory internal role check,HIGH,REDUCE_ACL_IN_P1_9B,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_join_or_create_room_core,"game_core.fn_join_or_create_room_core(p_template_id uuid, p_card_count integer, p_password text)",SECURITY DEFINER,yes,true,true,true,true,true,another database function,none_found,none_found,PARTIAL,auth.uid referenced; raise/guard patterns,DEFINER_PROBABLY_REQUIRED,medium (DEFINER; mitigated if strong internal auth),no,authenticated with mandatory internal role check,MEDIUM,REDUCE_ACL_IN_P1_9B,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true
