Schema,Function,Signature,Category,SECURITY DEFINER,Current ACL,Browser,API,Server Action,Railway,Cron,Trigger,SQL,Authorization,Batch1 Candidate,Confidence
game_core,api_get_room_state,p_room_id uuid,SERVER_RPC,NO,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",NO,NO,NO,YES,NO,NO,NO,NONE,YES,HIGH
game_core,fn_cancel_waiting_room_single,"p_room uuid, p_actor uuid, p_reason text, p_require_single_player boolean, p_now timestamp with time zone",SERVER_RPC,YES,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",NO,NO,NO,NO,NO,NO,YES,WEAK,NO,MEDIUM
game_core,fn_cancel_waiting_rooms,"p_room uuid, p_by_admin boolean",SERVER_RPC,NO,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",NO,NO,NO,NO,NO,NO,YES,STRONG,NO,MEDIUM
game_core,fn_cancel_waiting_rooms,"p_room uuid, p_by_admin boolean, p_requester uuid",SERVER_RPC,YES,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",NO,NO,NO,NO,NO,NO,YES,STRONG,NO,MEDIUM
game_core,fn_confirm_win,"p_room_id uuid, p_ticket_id uuid, p_type text",UNSAFE_RPC,NO,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",NO,NO,NO,NO,NO,NO,YES,NONE,NO,HIGH
game_core,fn_ensure_waiting_started_at,"p_room uuid, p_now timestamp with time zone",SERVER_RPC,YES,NULL,NO,NO,NO,NO,NO,NO,YES,NONE,YES,MEDIUM
game_core,fn_force_cancel_waiting_room,"p_room uuid, p_reason text, p_now timestamp with time zone",SERVER_RPC,YES,NULL,NO,NO,NO,NO,NO,NO,YES,NONE,YES,MEDIUM
game_core,fn_generate_card_pool,"p_card_count integer, p_created_by uuid, p_prng_version text",SERVER_RPC,YES,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",NO,YES,NO,NO,YES,NO,NO,NONE,YES,HIGH
game_core,fn_generate_card_pool_step,p_batch_size integer,SERVER_RPC,YES,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",NO,NO,NO,YES,YES,NO,NO,NONE,YES,HIGH
game_core,fn_generate_room_seed,,SERVER_RPC,NO,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",NO,NO,NO,NO,NO,NO,YES,NONE,YES,MEDIUM
