Schema,Function,Signature,Root Cause,Current Callers,Authorization,Recommended Fix,Risk,Batch1 Ready,Confidence
game_core,fn_confirm_win,"p_room_id uuid, p_ticket_id uuid, p_type text",D Legacy function,SQL nested only (may call fn_payout_room); no browser/API/Railway/cron/trigger .rpc,nowhere,3 Reduce ACL (then 5 delete after validation),CRITICAL,YES,HIGH
game_core,fn_payout_room,p_room uuid,D Legacy function,SQL nested from fn_confirm_win; delegates to game_finance.fn_finish_room_and_settle; no TS .rpc,nowhere,3 Reduce ACL,CRITICAL,YES,HIGH
game_finance,fn_payout_room_prize,p_room uuid,D Legacy function,No TS .rpc; listed in P0-A lock migration; delegates to fn_finish_room_and_settle,nowhere,3 Reduce ACL,CRITICAL,YES,HIGH
game_finance,fn_payout_winners,p_room uuid,D Legacy function,No TS .rpc; delegates to fn_finish_room_and_settle,nowhere,3 Reduce ACL,CRITICAL,YES,HIGH
public,fn_payout_room_if_full,p_room_id uuid,D Legacy function,Docs/SQL comments only; no TS .rpc; delegates to fn_finish_room_and_settle,nowhere,3 Reduce ACL,CRITICAL,YES,HIGH
public,distribute_ding_on_draw,,F Dead code,No attached trigger in live catalog; body would call update_ding_balance; migration 20251208131500,nowhere,5 Delete after validation (interim 3 Reduce ACL),MEDIUM,YES,HIGH
public,update_ding_balance,"p_user_id uuid, p_amount numeric",E ACL too broad,Nested SQL from distribute_ding_on_draw; no app .rpc; P0-A intended service_role lock not reflected in live ACL,nowhere (INVOKER+RLS historically),3 Reduce ACL,CRITICAL,YES,HIGH
public,rpc_backfill_missed_engine_ding,p_room_id uuid,E ACL too broad,No TS .rpc; migrations grant service_role but live still allows anon/authenticated,nowhere,3 Reduce ACL,HIGH,YES,HIGH
public,fn_admin_create_tournament,p_payload jsonb,C Wrapper bypasses authorization,Browser: app/admin/tournaments/create/page.tsx .rpc; nested tournament.fn_admin_create_tournament has auth.uid+role,nested SQL only (wrapper none; API none),2 Move to server API (interim 1 Add SQL auth in wrapper),HIGH,BLOCKED,HIGH
public,fn_admin_update_tournament,"p_tournament_id uuid, p_patch jsonb",C Wrapper bypasses authorization,Browser: app/admin/tournaments/[id]/edit/page.tsx .rpc; nested tournament.fn_admin_update_tournament has auth.uid+role,nested SQL only (wrapper none; API none),2 Move to server API (interim 1 Add SQL auth in wrapper),HIGH,BLOCKED,HIGH
public,fn_admin_delete_tournament,p_tournament_id uuid,C Wrapper bypasses authorization,Browser: app/admin/tournaments/[id]/edit/page.tsx .rpc; nested tournament.fn_admin_delete_tournament has auth.uid+role,nested SQL only (wrapper none; API none),2 Move to server API (interim 1 Add SQL auth in wrapper),HIGH,BLOCKED,HIGH
public,fn_tournament_wallet_capture,"p_tournament_id uuid, p_entry_id uuid, p_amount numeric, p_currency text",D Legacy function,No TS .rpc (hold/release used by TournamentRoomScreen); wraps tournament.fn_wallet_capture_join,nested SQL auth.uid (wrapper none),3 Reduce ACL (optional 5),HIGH,YES,MEDIUM
public,debug_ticket_counts,p_room_id uuid,E ACL too broad,Next.js API gameroom route via createServiceClient .rpc; incident tooling docs,nowhere in SQL; service_role expectation at API,3 Reduce ACL,HIGH,YES,HIGH
public,debug_runtime_context,p_room_id uuid,E ACL too broad,Next.js API gameroom route via createServiceClient .rpc; reads jwt claim settings for debug only,nowhere (no auth gate),3 Reduce ACL,HIGH,YES,HIGH
public,test_active_cards_bypass_rls,p_room_id uuid,E ACL too broad,Next.js API gameroom route via createServiceClient .rpc; DEFINER bypasses RLS,nowhere,3 Reduce ACL,HIGH,YES,HIGH
