schema,name,args,security_mode,classification,required_roles,account_status,callers,acl_summary,anon_execute,auth_execute,service_execute,authz_quality,move_behind_next_api,batch2_acl_ready,risk,notes
public,fn_admin_create_tournament,p_payload jsonb,DEFINER,SERVER_RPC,admin|super,active,API_JWT,"postgres,authenticated,service_role",false,true,true,PARTIAL,DONE_P1_13,NO_KEEP_AUTHENTICATED,Medium,P1.14 locked anon; wrapper none nested strong
public,fn_admin_update_tournament,"p_tournament_id uuid | p_patch jsonb",DEFINER,SERVER_RPC,admin|super,active,API_JWT,"postgres,authenticated,service_role",false,true,true,PARTIAL,DONE_P1_13,NO_KEEP_AUTHENTICATED,Medium,P1.14 locked anon
public,fn_admin_delete_tournament,p_tournament_id uuid,DEFINER,SERVER_RPC,admin|super,active,API_JWT,"postgres,authenticated,service_role",false,true,true,PARTIAL,DONE_P1_13,NO_KEEP_AUTHENTICATED,Medium,P1.14 locked anon
public,fn_admin_set_tournament_status,"p_tournament_id uuid | p_status tournament_status",DEFINER,CLIENT_RPC,admin|super,active,BROWSER,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,STRONG,YES,AFTER_API_MOVE,High,Last tournament admin browser RPC
public,fn_admin_games_report,"p_from timestamptz | p_to timestamptz | p_limit int | p_offset int",DEFINER,UNSAFE_RPC,API_GATE_admin|super|agent,,API_SERVICE_ROLE,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,NONE,DONE_API,YES,High,No SQL auth; anon can EXECUTE
public,fn_dashboard_admin_commission_summary,,DEFINER,HYBRID_RPC,admin,,BROWSER+API_JWT,"anon|authenticated|postgres|service_role",true,true,true,STRONG,YES_CONSOLIDATE_API,AFTER_BROWSER_REMOVED,Medium,Snapshot API + services/dashboard.ts
public,fn_dashboard_admin_commission_summary_range,"p_from timestamptz | p_to timestamptz",DEFINER,CLIENT_RPC,admin,,BROWSER,"anon|authenticated|postgres|service_role",true,true,true,STRONG,YES,AFTER_BROWSER_REMOVED,Medium,Range tab browser RPC
public,fn_dashboard_admin_tournament_guarantee_summary,,DEFINER,HYBRID_RPC,admin,,BROWSER+API_JWT,"anon|authenticated|postgres|service_role",true,true,true,STRONG,YES_CONSOLIDATE_API,AFTER_BROWSER_REMOVED,Medium,Snapshot API + browser path
public,fn_dashboard_admin_tournament_guarantee_summary_range,"p_from timestamptz | p_to timestamptz",DEFINER,CLIENT_RPC,admin,,BROWSER,"anon|authenticated|postgres|service_role",true,true,true,STRONG,YES,AFTER_BROWSER_REMOVED,Medium,Range tab browser RPC
public,fn_wallet_transfer_panel,"p_target_id uuid | p_amount bigint | p_action text | p_description text | p_meta jsonb",DEFINER,SERVER_RPC,admin|super|agent,,API_JWT,"anon|authenticated|postgres|service_role",true,true,true,STRONG,DONE_API,SOFT_REVOKE_ANON_PUBLIC,Medium,Hierarchy enforced in SQL
public,fn_wallet_transfer_panel,"p_target_id uuid | p_currency text | p_amount bigint | p_direction text | p_description text",DEFINER,SERVER_RPC,via_bulk,,NONE_TS,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,NONE,DEPRECATE,YES,Medium,Legacy shim to bulk
public,fn_wallet_transfer_panel_bulk,"p_target_ids uuid[] | p_currency text | p_amount bigint | p_direction text | p_description text",DEFINER,SERVER_RPC,admin|super|agent,,NONE_TS,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,STRONG,OPTIONAL,SOFT_REVOKE_ANON,Medium,API uses 5-arg loop instead
public,fn_wallet_apply_delta,"p_user_id uuid | p_currency text | p_amount_delta numeric | p_transaction_type | p_source_kind | p_source_ref | p_description | p_meta | p_allow_negative",DEFINER,HYBRID_RPC,NONE_SQL,,API_SERVICE_ROLE+RAILWAY,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,NONE,DONE_API,YES_CAREFUL,Critical,Public shim to game_finance; no SQL auth
game_finance,fn_wallet_apply_delta,"p_user_id uuid | p_currency text | p_amount_delta numeric | p_transaction_type | p_source_kind | p_source_ref | p_description | p_meta | p_allow_negative",DEFINER,UNSAFE_RPC,NONE_SQL,,NESTED+SERVICE,"PUBLIC|authenticated|postgres|service_role",true,true,true,NONE,N/A,YES_REVOKE_PUBLIC,Critical,SoR wallet mutation
public,fn_adjust_wallet_manual,"p_target_user uuid | p_amount numeric | p_currency text | p_type | p_description",DEFINER,CLIENT_RPC,admin|agent|super,,NONE_TS,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,STRONG,N/A_ORPHAN,YES,High,Superseded by wallet adjust API
public,fn_adjust_referral_wallet,"p_target_user uuid | p_amount numeric | p_currency text | p_type | p_description",DEFINER,CLIENT_RPC,admin|agent|super,,NONE_TS,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,STRONG,N/A_ORPHAN,YES,High,No live TS caller
public,fn_generate_card_pool,"p_card_count integer | p_created_by uuid | p_prng_version text",DEFINER,UNSAFE_RPC,NONE_SQL,,API_SERVICE_ROLE,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,NONE,DONE_API,YES,High,Auth only in Next route
game_core,fn_generate_card_pool,"p_card_count integer | p_created_by uuid | p_prng_version text",DEFINER,SERVER_RPC,NONE_SQL,,NESTED_OR_API,"postgres|service_role",true,true,true,NONE,N/A,ALREADY_LOCKED,Low,ACL already hardened
public,is_admin_active,,DEFINER,SERVER_RPC,admin,active,NONE_TS_HELPER,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,STRONG,NO,SOFT_REVOKE_ANON,Low,Boolean helper; no TS rpc found
public,update_admin_permissions_updated_at,,INVOKER,SERVER_RPC,N/A,,TRIGGER,"PUBLIC|anon|authenticated|postgres|service_role",true,true,true,N/A,NO,YES,Low,BEFORE UPDATE trigger stamp
tournament,fn_admin_create_tournament,p_payload jsonb,DEFINER,SERVER_RPC,admin|super,active,NESTED_FROM_PUBLIC,"PUBLIC|authenticated|postgres",true,true,true,STRONG,N/A,SOFT_REVOKE_PUBLIC,Medium,Callee for public wrapper
