schema,name,args,security_mode,owner,acl_summary,anon_x,auth_x,service_x,authz,legitimate_actors,browser,api,railway,trigger,cron,sql_nested,classification,acl_recommendation,risk_notes
public,fn_wallet_apply_delta,p_user_id|p_currency|p_amount_delta|p_transaction_type|p_source_kind|p_source_ref|p_description|p_meta|p_allow_negative,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,NONE,Railway|AdminAPI_service|InternalSQL,—,adjust_service_role,finance_adapter,—,—,wrapper_to_game_finance,UNSAFE,service_role_only,CRITICAL no SQL auth; anon can EXECUTE
game_finance,fn_wallet_apply_delta,p_user_id|p_currency|p_amount_delta|p_transaction_type|p_source_kind|p_source_ref|p_description|p_meta|p_allow_negative,DEFINER,postgres,PUBLIC|authenticated|postgres|service_role,true,true,true,NONE,Railway|AdminAPI_service|InternalSQL,—,via_public_wrapper,via_public_wrapper,—,—,SoR_ledger,UNSAFE,service_role_only,CRITICAL SoR mutator; PUBLIC exposure
public,fn_adjust_wallet_manual,p_target_user|p_amount|p_currency|p_type|p_description,DEFINER,postgres,postgres|service_role,false,false,true,auth.uid+admin|agent|super,Admin|Super|Agent_orphan,—,—,—,—,—,calls_apply_delta,SERVER,keep_current,P2.0 locked; no live TS
public,fn_adjust_referral_wallet,p_target_user|p_amount|p_currency|p_type|p_description,DEFINER,postgres,postgres|service_role,false,false,true,auth.uid+admin|agent|super,Admin|Super|Agent_orphan,—,—,—,—,—,direct_wallet_UPDATE,SERVER,keep_current,P2.0 locked; bypasses apply_delta
public,fn_wallet_transfer_panel,p_target_id|p_amount|p_action|p_description|p_meta,DEFINER,postgres,anon|authenticated|postgres|service_role,true,true,true,auth.uid+admin|super|agent+hierarchy,Admin|Super|Agent,—,transfer_JWT,—,—,—,direct_wallet_tx,SERVER,revoke_PUBLIC_and_anon,Keep authenticated for JWT API
public,fn_wallet_transfer_panel,p_target_id|p_currency|p_amount|p_direction|p_description,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,NONE_shim,none_live,—,—,—,—,—,calls_bulk,UNSAFE,service_role_only,Legacy shim; no TS caller
public,fn_wallet_transfer_panel_bulk,p_target_ids|p_currency|p_amount|p_direction|p_description,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,auth.uid+admin|super|agent,Admin|Super|Agent_unused,—,—,—,—,—,from_legacy_shim,SERVER,revoke_PUBLIC_and_anon,No live TS; API loops 5-arg
public,fn_tournament_wallet_hold,p_tournament_id|p_qty|p_currency|p_entry_id,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,auth.uid+ownership,Player,TournamentRoomScreen,—,—,—,—,calls_apply_delta,CLIENT,keep_current,Browser registration hold
public,fn_tournament_wallet_release,p_tournament_id|p_currency|p_entry_id,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,auth.uid+ownership,Player,TournamentRoomScreen,—,—,—,—,calls_apply_delta,CLIENT,keep_current,Browser cancel/rollback
public,fn_tournament_wallet_capture,p_tournament_id|p_entry_id|p_amount|p_currency,DEFINER,postgres,postgres|service_role,false,false,true,NONE,InternalSQL|Railway,—,—,—,—,—,shim,SERVER,keep_current,P1.12 locked; no TS rpc
